Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumStorePurchases,NumWebVisitsMonth,Complain,WebPurchases,Age,Children,TotalSpent,CustomerType
1957,Graduation,Single,58138.0,0,58,635,88,546,172,88,88,4,7,0,1,69,0,1617,Comprador
1954,Graduation,Single,46344.0,1,38,11,1,6,2,1,6,2,5,0,0,72,1,27,Não Comprador
1965,Graduation,Together,71613.0,0,26,426,49,127,111,21,42,10,4,0,1,61,0,776,Comprador
1984,Graduation,Together,26646.0,1,26,11,4,20,10,3,5,4,6,0,0,42,1,53,Não Comprador
1981,PhD,Married,58293.0,1,94,173,43,118,46,27,15,6,5,0,1,45,1,422,Comprador
1967,Master,Together,62513.0,0,16,520,42,98,0,42,14,10,6,0,1,59,0,716,Comprador
1971,Graduation,Divorced,55635.0,0,34,235,65,164,50,49,27,7,6,0,1,55,0,590,Comprador
1985,PhD,Married,33454.0,1,32,76,10,56,3,1,23,4,8,0,1,41,1,169,Comprador
1974,PhD,Together,30351.0,1,19,14,0,24,3,3,2,2,9,0,0,52,1,46,Não Comprador
1950,PhD,Together,5648.0,1,68,28,0,6,1,1,13,0,20,0,0,76,1,49,Não Comprador
1983,Graduation,Married,51381.5,1,11,5,5,6,0,2,1,2,7,0,0,43,1,19,Não Comprador
1976,Basic,Married,7500.0,0,59,6,16,11,11,1,16,3,8,0,0,50,0,61,Não Comprador
1959,Graduation,Divorced,63033.0,0,82,194,61,480,225,112,30,8,2,0,0,67,0,1102,Não Comprador
1952,Master,Divorced,59354.0,1,53,233,2,53,3,5,14,5,6,0,1,74,1,310,Comprador
1987,Graduation,Married,17323.0,0,38,3,14,17,6,1,5,3,8,0,0,39,0,46,Não Comprador
1946,PhD,Single,82800.0,0,23,1006,22,115,59,68,45,12,3,0,1,80,0,1315,Comprador
1980,Graduation,Married,41850.0,1,51,53,5,19,2,13,4,3,8,0,0,46,1,96,Não Comprador
1946,Graduation,Together,37760.0,0,20,84,5,38,150,12,28,6,7,0,1,80,0,317,Comprador
1949,Master,Married,76995.0,0,91,1012,80,498,0,16,176,9,5,0,1,77,0,1782,Comprador
